label,message
ham,"Good morning, Following up on the previous thread. I have updated the invoice with the latest figures. Talk soon,"
ham,"Just checking in regarding our last conversation. Could you send me the link to the Q4 planning repository? Sincerely,"
ham,"Hello, Hope you are having a good week. Thanks for the update on the Q4 planning. Looks good. Thanks,"
ham,"Hi everyone, Following up on the previous thread. Can we push the coffee chat to 2 PM instead? Regards,"
spam,"Dear Customer, Your PayPal account has been suspended due to suspicious activity. Unsubscribe by clicking http://secure-login-verify.com Within 24 hours or your account is deleted."
spam,ATTENTION: Get up to 90% off on all electronics! Download the secure attachment to view your invoice. Act now!
ham,"Hello, Please find your receipt for the hotel reservation attached. Cheers,"
spam,URGENT: Your PayPal account has been suspended due to suspicious activity. Click here to claim your reward: http://update-your-billing.net Act now!
spam,URGENT: Clearance sale! Massive discounts on software licenses. Unsubscribe by clicking www.free-prize.info Limited time only.
spam,URGENT: We noticed a login attempt on your Amazon account. Shop now while stocks last! Visit http://claim-now.net Limited time only.
spam,WARNING: You have been selected to receive a Tesla Model S. Shop now while stocks last! Visit http://bit.ly/scam123 Do this immediately.
ham,"Hey! Hope you are having a good week. Can you review the attached budget spreadsheet by Friday? Sincerely,"
ham,"Please find your receipt for your recent software purchase attached. Thanks,"
spam,"WARNING: Get up to 85% off on all rolex watches! Reply to this email to find out how. Hurry, offer ends {time}!"
spam,"Congratulations! Clearance sale! Massive discounts on designer handbags. Verify your identity immediately at http://bit.ly/scam123 to restore access. Hurry, offer ends {time}!"
spam,"Dear Customer, Clearance sale! Massive discounts on rolex watches. Reply to this email to find out how. Limited time only."
ham,"I hope this email finds you well. Could you send me the link to the Q4 planning repository? Thanks,"
spam,"URGENT: Your package could not be delivered. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
ham,"Hi everyone, Thanks for the update on the marketing campaign. Looks good. Thanks,"
spam,ATTENTION: Make thousands of dollars working from home starting today! Reply to this email to find out how. Within 24 hours or your account is deleted.
ham,"Hi everyone, Just checking in regarding our last conversation. Could you clarify your notes on the code review? Regards,"
spam,Congratulations! We noticed a login attempt on your Bank of America account. Download the secure attachment to view your invoice. Act now!
spam,"Dear Customer, Make $10,000/week working from home starting tonight! Unsubscribe by clicking http://claim-now.net Limited time only."
spam,"Hey friend, Your package could not be delivered. Shop now while stocks last! Visit http://update-your-billing.net Limited time only."
spam,We noticed a login attempt on your Bank of America account. Click here to claim your reward: http://update-your-billing.net Within 24 hours or your account is deleted.
spam,"Dear Customer, Clearance sale! Massive discounts on weight loss gummies. Verify your identity immediately at www.free-prize.info to restore access. Within 24 hours or your account is deleted."
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into $500 a day. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
ham,"Hey! Hope you are having a good week. I'm reviewing the design mockup now and will send feedback soon. Regards,"
spam,ATTENTION: Your package could not be delivered. Pay the $1.99 shipping fee at www.free-prize.info to get your package. Limited time only.
spam,WARNING: Get up to 85% off on all weight loss gummies! Download the secure attachment to view your invoice. Limited time only.
ham,"Hi everyone, Just checking in regarding our last conversation. Here are the meeting minutes from our sync on server upgrade. Regards,"
ham,"I hope this email finds you well. I'll be out of office until noon. Talk soon,"
spam,Your Amazon account has been suspended due to suspicious activity. Shop now while stocks last! Visit http://secure-login-verify.com Act now!
ham,"Hey! I hope this email finds you well. Could you clarify your notes on the Q3 report? Thanks,"
ham,"Hi there, Thanks for reaching out! I have updated the presentation with the latest figures. Talk soon,"
ham,"Dear Team, Thanks for reaching out! Here are the meeting minutes from our sync on marketing campaign. Thanks,"
ham,"Hi everyone, Can you review the attached presentation by 10 AM? Thanks,"
ham,"I hope this email finds you well. Could you clarify your notes on the draft contract? Talk soon,"
spam,"Hey friend, You are the lucky winner of our daily giveaway! Unsubscribe by clicking http://bit.ly/scam123 Do this immediately."
spam,Clearance sale! Massive discounts on rolex watches. Reply to this email to find out how. Within 24 hours or your account is deleted.
spam,"ATTENTION: Clearance sale! Massive discounts on weight loss gummies. Reply to this email to find out how. Hurry, offer ends {time}!"
spam,Congratulations! Your package could not be delivered. Unsubscribe by clicking http://secure-login-verify.com Act now!
ham,"Hey! Thanks for reaching out! Can we push the deployment to Friday instead? Talk soon,"
ham,"I hope this email finds you well. Could you send me the link to the Apollo migration repository? Sincerely,"
ham,"Hey! Following up on the previous thread. Let's schedule a meeting for tomorrow to discuss the website redesign. Sincerely,"
ham,"Dear Team, Hope you are having a good week. Can we push the coffee chat to Monday morning instead? Thanks,"
ham,"Hello, Just checking in regarding our last conversation. Just a reminder that the design sprint is happening at Monday morning. Regards,"
ham,"Hello, Are we still on for lunch at noon? Sincerely,"
spam,"Your package could not be delivered. Verify your identity immediately at http://update-your-billing.net to restore access. Hurry, offer ends {time}!"
ham,"Good morning, Following up on the previous thread. Here are the meeting minutes from our sync on server upgrade. Sincerely,"
spam,"Congratulations! Get up to 99% off on all electronics! Click here to claim your reward: http://secure-login-verify.com Hurry, offer ends {time}!"
ham,"Just checking in regarding our last conversation. I'll be out of office until EOD. Cheers,"
ham,"Dear Team, I hope this email finds you well. I'm reviewing the draft contract now and will send feedback soon. Cheers,"
spam,"Hey friend, Invest in the new crypto coin and turn $100 into $10,000/week. Unsubscribe by clicking http://secure-login-verify.com Within 24 hours or your account is deleted."
ham,"Hey! I hope this email finds you well. Let's schedule a meeting for 10 AM to discuss the server upgrade. Talk soon,"
spam,"Dear Customer, We noticed a login attempt on your Crypto wallet. Click here to claim your reward: http://secure-login-verify.com Act now!"
ham,"Dear Team, Thanks for reaching out! I have updated the invoice with the latest figures. Cheers,"
ham,"Dear Team, Just checking in regarding our last conversation. Here are the meeting minutes from our sync on marketing campaign. Best,"
ham,"Hi everyone, Thanks for reaching out! Can you review the attached budget spreadsheet by EOD? Best,"
ham,"Dear Team, Just checking in regarding our last conversation. Let's schedule a meeting for Monday morning to discuss the marketing campaign. Sincerely,"
spam,"Dear Customer, Clearance sale! Massive discounts on electronics. Reply to this email to find out how. Within 24 hours or your account is deleted."
ham,"Do you have a few minutes to chat at Friday? Talk soon,"
ham,"Hey! Hope you are having a good week. Could you clarify your notes on the Q3 report? Best,"
ham,"Hi everyone, Thanks for reaching out! Thanks for the update on the marketing campaign. Looks good. Best,"
spam,Congratulations! Your Crypto wallet has been suspended due to suspicious activity. Unsubscribe by clicking http://claim-now.net Do this immediately.
spam,"Hey friend, Your package could not be delivered. Download the secure attachment to view your invoice. Do this immediately."
spam,You have been selected to receive a Tesla Model S. Pay the $1.99 shipping fee at www.free-prize.info to get your package. Within 24 hours or your account is deleted.
ham,"Hello, Hope you are having a good week. I'll be out of office until next week. Sincerely,"
spam,Clearance sale! Massive discounts on software licenses. Unsubscribe by clicking http://secure-login-verify.com Within 24 hours or your account is deleted.
spam,"Hey friend, Invest in the new crypto coin and turn $100 into $10,000/week. Log in at www.free-prize.info to secure your account. Within 24 hours or your account is deleted."
spam,"Congratulations! Make $5,000 working from home starting tonight! Reply to this email to find out how. Within 24 hours or your account is deleted."
ham,"Hi there, Hope you are having a good week. The server upgrade is progressing well. We hit the milestone. Talk soon,"
spam,URGENT: Your Bank of America account has been suspended due to suspicious activity. Download the secure attachment to view your invoice. Do this immediately.
ham,"Hello, Here are the meeting minutes from our sync on Q4 planning. Best,"
ham,"Hi there, Please find your receipt for your recent software purchase attached. Sincerely,"
spam,"Hey friend, We noticed a login attempt on your Bank of America account. Shop now while stocks last! Visit http://secure-login-verify.com Act now!"
ham,"Hello, Thanks for reaching out! Thanks for the update on the marketing campaign. Looks good. Best,"
spam,WARNING: Get up to 99% off on all rolex watches! Verify your identity immediately at http://secure-login-verify.com to restore access. Within 24 hours or your account is deleted.
spam,ATTENTION: We noticed a login attempt on your Netflix subscription. Shop now while stocks last! Visit http://bit.ly/scam123 Act now!
spam,"Dear Customer, Make $10,000/week working from home starting immediately! Unsubscribe by clicking http://claim-now.net Hurry, offer ends {time}!"
spam,URGENT: Your PayPal account has been suspended due to suspicious activity. Verify your identity immediately at http://bit.ly/scam123 to restore access. Limited time only.
spam,"Get up to 50% off on all designer handbags! Shop now while stocks last! Visit http://update-your-billing.net Hurry, offer ends {time}!"
spam,"Dear Customer, Your Crypto wallet has been suspended due to suspicious activity. Download the secure attachment to view your invoice. Limited time only."
spam,"Dear Customer, Get up to 85% off on all rolex watches! Log in at http://update-your-billing.net to secure your account. Act now!"
ham,"Hello, Hope you are having a good week. Can you review the attached presentation by 10 AM? Best,"
ham,"Hi everyone, Could you clarify your notes on the invoice? Cheers,"
ham,"Hi everyone, Thanks for reaching out! Can you review the attached budget spreadsheet by Friday? Regards,"
spam,WARNING: Get up to 50% off on all rolex watches! Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Limited time only.
spam,"WARNING: Your Bank of America account has been suspended due to suspicious activity. Click here to claim your reward: http://secure-login-verify.com Hurry, offer ends {time}!"
spam,WARNING: Clearance sale! Massive discounts on electronics. Unsubscribe by clicking www.free-prize.info Do this immediately.
ham,"Hi there, I hope this email finds you well. Can we push the team building to Friday instead? Sincerely,"
ham,"Hi there, Just checking in regarding our last conversation. Could you send me the link to the client pitch repository? Regards,"
spam,Congratulations! You have been selected to receive a $5000 Amazon Gift Card. Unsubscribe by clicking www.free-prize.info Do this immediately.
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into thousands of dollars. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
spam,ATTENTION: Clearance sale! Massive discounts on software licenses. Reply to this email to find out how. Within 24 hours or your account is deleted.
ham,"Hi there, I hope this email finds you well. Are we still on for lunch at 10 AM? Talk soon,"
ham,"Hi there, Hope you are having a good week. Can you review the attached invoice by Friday? Sincerely,"
spam,ATTENTION: Clearance sale! Massive discounts on weight loss gummies. Unsubscribe by clicking http://bit.ly/scam123 Do this immediately.
spam,URGENT: We noticed a login attempt on your Bank of America account. Unsubscribe by clicking http://update-your-billing.net Act now!
spam,"URGENT: Invest in the new crypto coin and turn $100 into $10,000/week. Unsubscribe by clicking http://secure-login-verify.com Act now!"
spam,You have been selected to receive a Tesla Model S. Click here to claim your reward: www.free-prize.info Within 24 hours or your account is deleted.
ham,"Hi there, Just checking in regarding our last conversation. I'm reviewing the budget spreadsheet now and will send feedback soon. Sincerely,"
ham,"Hey! Hope you are having a good week. I'm reviewing the invoice now and will send feedback soon. Regards,"
spam,URGENT: Clearance sale! Massive discounts on rolex watches. Verify your identity immediately at www.free-prize.info to restore access. Within 24 hours or your account is deleted.
spam,"Congratulations! Make $5,000 working from home starting in 24 hours! Click here to claim your reward: www.free-prize.info Within 24 hours or your account is deleted."
spam,"Hey friend, Clearance sale! Massive discounts on weight loss gummies. Download the secure attachment to view your invoice. Limited time only."
spam,"URGENT: We noticed a login attempt on your PayPal account. Verify your identity immediately at http://update-your-billing.net to restore access. Hurry, offer ends {time}!"
spam,"WARNING: Your Apple ID has been suspended due to suspicious activity. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
ham,"Hi there, Just checking in regarding our last conversation. Do you have a few minutes to chat at noon? Cheers,"
ham,"Just checking in regarding our last conversation. Just a reminder that the coffee chat is happening at noon. Cheers,"
spam,"Hey friend, Clearance sale! Massive discounts on weight loss gummies. Verify your identity immediately at http://update-your-billing.net to restore access. Do this immediately."
ham,"Good morning, I hope this email finds you well. Here are the meeting minutes from our sync on Apollo migration. Thanks,"
ham,"Good morning, Thanks for the update on the marketing campaign. Looks good. Cheers,"
ham,"Dear Team, Thanks for reaching out! Do you have a few minutes to chat at noon? Thanks,"
spam,ATTENTION: You are the lucky winner of our daily giveaway! Reply to this email to find out how. Do this immediately.
spam,Congratulations! You are the lucky winner of our daily giveaway! Download the secure attachment to view your invoice. Do this immediately.
spam,"Get up to 50% off on all weight loss gummies! Pay the $1.99 shipping fee at www.free-prize.info to get your package. Hurry, offer ends {time}!"
ham,"I hope this email finds you well. Are we still on for lunch at noon? Best,"
spam,"WARNING: Invest in the new crypto coin and turn $100 into $5,000. Reply to this email to find out how. Within 24 hours or your account is deleted."
spam,URGENT: Clearance sale! Massive discounts on enhancement pills. Unsubscribe by clicking http://bit.ly/scam123 Do this immediately.
ham,"Hi everyone, Thanks for reaching out! Please find your receipt for the conference ticket attached. Cheers,"
spam,Congratulations! You have been selected to receive a free iPad Pro. Download the secure attachment to view your invoice. Do this immediately.
spam,"Congratulations! Get up to 99% off on all rolex watches! Reply to this email to find out how. Hurry, offer ends {time}!"
spam,URGENT: You are the lucky winner of our daily giveaway! Unsubscribe by clicking http://secure-login-verify.com Limited time only.
ham,"Hi there, I hope this email finds you well. Could you clarify your notes on the budget spreadsheet? Sincerely,"
spam,URGENT: You are the lucky winner of our daily giveaway! Verify your identity immediately at http://update-your-billing.net to restore access. Act now!
spam,"Hey friend, We noticed a login attempt on your Apple ID. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Hurry, offer ends {time}!"
ham,"Good morning, Hope you are having a good week. Let's schedule a meeting for noon to discuss the Apollo migration. Cheers,"
ham,"Good morning, Hope you are having a good week. Can we push the coffee chat to noon instead? Best,"
ham,"Following up on the previous thread. I have updated the budget spreadsheet with the latest figures. Thanks,"
ham,"Thanks for reaching out! Can you review the attached invoice by 10 AM? Cheers,"
spam,"Dear Customer, Your PayPal account has been suspended due to suspicious activity. Reply to this email to find out how. Do this immediately."
ham,"Hey! Thanks for reaching out! Here are the meeting minutes from our sync on Q4 planning. Sincerely,"
spam,"Dear Customer, You have been selected to receive a $5000 Amazon Gift Card. Pay the $1.99 shipping fee at http://claim-now.net to get your package. Hurry, offer ends {time}!"
spam,WARNING: You have been selected to receive a Tesla Model S. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted.
ham,"Hey! Hope you are having a good week. Can you review the attached draft contract by noon? Thanks,"
spam,"Hey friend, We noticed a login attempt on your Apple ID. Shop now while stocks last! Visit http://update-your-billing.net Hurry, offer ends {time}!"
ham,"Hey! Thanks for reaching out! The website redesign is progressing well. We hit the milestone. Talk soon,"
spam,URGENT: Your package could not be delivered. Log in at http://claim-now.net to secure your account. Do this immediately.
ham,"Hey! Thanks for reaching out! Could you clarify your notes on the design mockup? Cheers,"
ham,"Hi everyone, I hope this email finds you well. I'll be out of office until 2 PM. Thanks,"
ham,"Dear Team, Thanks for reaching out! The Q4 planning is progressing well. We hit the milestone. Sincerely,"
ham,"Thanks for reaching out! Can we push the client call to Monday morning instead? Regards,"
spam,WARNING: Get up to 70% off on all software licenses! Log in at http://bit.ly/scam123 to secure your account. Act now!
ham,"Dear Team, Following up on the previous thread. Could you clarify your notes on the Q3 report? Regards,"
spam,You have been selected to receive a free iPad Pro. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Limited time only.
ham,"Hey! Thanks for reaching out! Let's schedule a meeting for noon to discuss the Apollo migration. Thanks,"
spam,"Congratulations! Make $5,000 working from home starting tonight! Pay the $1.99 shipping fee at www.free-prize.info to get your package. Do this immediately."
spam,"Hey friend, You have been selected to receive a free iPad Pro. Verify your identity immediately at http://claim-now.net to restore access. Act now!"
spam,"Dear Customer, Clearance sale! Massive discounts on enhancement pills. Shop now while stocks last! Visit www.free-prize.info Hurry, offer ends {time}!"
spam,URGENT: Clearance sale! Massive discounts on enhancement pills. Reply to this email to find out how. Act now!
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Unsubscribe by clicking http://bit.ly/scam123 Within 24 hours or your account is deleted."
spam,ATTENTION: Clearance sale! Massive discounts on electronics. Log in at http://claim-now.net to secure your account. Act now!
ham,"Following up on the previous thread. I'll be out of office until Friday. Regards,"
spam,"Dear Customer, You have been selected to receive a Tesla Model S. Unsubscribe by clicking http://bit.ly/scam123 Act now!"
ham,"Hi everyone, Following up on the previous thread. I'm reviewing the presentation now and will send feedback soon. Talk soon,"
spam,"Hey friend, Your Apple ID has been suspended due to suspicious activity. Pay the $1.99 shipping fee at http://claim-now.net to get your package. Within 24 hours or your account is deleted."
ham,"Good morning, I hope this email finds you well. I'll be out of office until EOD. Cheers,"
ham,"Dear Team, Just checking in regarding our last conversation. Please find your receipt for the conference ticket attached. Best,"
spam,WARNING: You are the lucky winner of our daily giveaway! Download the secure attachment to view your invoice. Limited time only.
spam,"Congratulations! We noticed a login attempt on your Bank of America account. Verify your identity immediately at www.free-prize.info to restore access. Hurry, offer ends {time}!"
ham,"Hey! Just checking in regarding our last conversation. Here are the meeting minutes from our sync on server upgrade. Best,"
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into $5,000. Reply to this email to find out how. Limited time only."
spam,"Dear Customer, Your Netflix subscription has been suspended due to suspicious activity. Reply to this email to find out how. Hurry, offer ends {time}!"
ham,"Can you review the attached draft contract by Friday? Thanks,"
spam,Congratulations! Your package could not be delivered. Download the secure attachment to view your invoice. Limited time only.
spam,WARNING: You are the lucky winner of our daily giveaway! Shop now while stocks last! Visit http://update-your-billing.net Do this immediately.
ham,"Hi everyone, I hope this email finds you well. Could you send me the link to the marketing campaign repository? Talk soon,"
ham,"Hi everyone, I hope this email finds you well. Can we push the team building to 2 PM instead? Best,"
spam,You have been selected to receive a Tesla Model S. Reply to this email to find out how. Act now!
spam,ATTENTION: You have been selected to receive a $5000 Amazon Gift Card. Download the secure attachment to view your invoice. Act now!
spam,URGENT: You have been selected to receive a luxury vacation to Hawaii. Verify your identity immediately at http://update-your-billing.net to restore access. Within 24 hours or your account is deleted.
spam,Congratulations! Your Amazon account has been suspended due to suspicious activity. Unsubscribe by clicking www.free-prize.info Within 24 hours or your account is deleted.
ham,"Hello, Thanks for reaching out! Let's schedule a meeting for next week to discuss the marketing campaign. Cheers,"
spam,"Your PayPal account has been suspended due to suspicious activity. Unsubscribe by clicking http://bit.ly/scam123 Hurry, offer ends {time}!"
spam,URGENT: You have been selected to receive a brand new iPhone 15. Verify your identity immediately at http://claim-now.net to restore access. Do this immediately.
ham,"Hi everyone, Following up on the previous thread. Just a reminder that the design sprint is happening at noon. Sincerely,"
ham,"Hey! Just checking in regarding our last conversation. I'll be out of office until next week. Cheers,"
spam,Congratulations! You are the lucky winner of our daily giveaway! Click here to claim your reward: http://claim-now.net Act now!
ham,"Hi there, I have updated the budget spreadsheet with the latest figures. Sincerely,"
spam,Invest in the new crypto coin and turn $100 into $500 a day. Click here to claim your reward: www.free-prize.info Do this immediately.
spam,ATTENTION: Your Netflix subscription has been suspended due to suspicious activity. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Act now!
spam,WARNING: Make thousands of dollars working from home starting immediately! Log in at http://claim-now.net to secure your account. Do this immediately.
ham,"Hi there, Hope you are having a good week. Could you send me the link to the marketing campaign repository? Talk soon,"
spam,"URGENT: Make $5,000 working from home starting today! Click here to claim your reward: http://claim-now.net Hurry, offer ends {time}!"
ham,"Dear Team, Thanks for reaching out! I have updated the invoice with the latest figures. Best,"
ham,"Hello, Hope you are having a good week. I have updated the code review with the latest figures. Thanks,"
ham,"Hello, Hope you are having a good week. Thanks for the update on the server upgrade. Looks good. Cheers,"
spam,"Dear Customer, You have been selected to receive a free iPad Pro. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
spam,ATTENTION: Get up to 85% off on all designer handbags! Download the secure attachment to view your invoice. Limited time only.
ham,"Dear Team, The server upgrade is progressing well. We hit the milestone. Sincerely,"
ham,"Good morning, Following up on the previous thread. Please find your receipt for the hotel reservation attached. Thanks,"
spam,URGENT: You have been selected to receive a brand new iPhone 15. Download the secure attachment to view your invoice. Act now!
ham,"Following up on the previous thread. Could you clarify your notes on the budget spreadsheet? Thanks,"
spam,"URGENT: Your package could not be delivered. Download the secure attachment to view your invoice. Hurry, offer ends {time}!"
ham,"Hey! Just checking in regarding our last conversation. Can you review the attached invoice by 10 AM? Best,"
ham,"Hey! Following up on the previous thread. I'm reviewing the draft contract now and will send feedback soon. Sincerely,"
spam,ATTENTION: Your package could not be delivered. Reply to this email to find out how. Do this immediately.
ham,"Good morning, I hope this email finds you well. Can we push the deployment to tomorrow instead? Cheers,"
ham,"Hello, Following up on the previous thread. Are we still on for lunch at Friday? Thanks,"
ham,"Hi there, Following up on the previous thread. I have updated the draft contract with the latest figures. Thanks,"
spam,Clearance sale! Massive discounts on enhancement pills. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Do this immediately.
spam,ATTENTION: You have been selected to receive a Tesla Model S. Click here to claim your reward: http://bit.ly/scam123 Within 24 hours or your account is deleted.
spam,"Hey friend, Get up to 50% off on all weight loss gummies! Pay the $1.99 shipping fee at http://claim-now.net to get your package. Within 24 hours or your account is deleted."
spam,"Dear Customer, Make thousands of dollars working from home starting tonight! Reply to this email to find out how. Limited time only."
ham,"Following up on the previous thread. Could you send me the link to the server upgrade repository? Regards,"
spam,"Make $10,000/week working from home starting tonight! Reply to this email to find out how. Within 24 hours or your account is deleted."
ham,"Hello, Could you clarify your notes on the presentation? Talk soon,"
spam,"WARNING: Make $5,000 working from home starting tonight! Log in at www.free-prize.info to secure your account. Act now!"
ham,"Hey! Following up on the previous thread. I'm reviewing the budget spreadsheet now and will send feedback soon. Cheers,"
ham,"Hello, Hope you are having a good week. Could you clarify your notes on the code review? Cheers,"
ham,"Hey! Thanks for reaching out! I'm reviewing the design mockup now and will send feedback soon. Talk soon,"
spam,URGENT: Your Bank of America account has been suspended due to suspicious activity. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted.
spam,Get up to 50% off on all enhancement pills! Log in at http://claim-now.net to secure your account. Act now!
spam,"URGENT: Invest in the new crypto coin and turn $100 into $5,000. Download the secure attachment to view your invoice. Do this immediately."
spam,ATTENTION: Get up to 50% off on all software licenses! Verify your identity immediately at http://update-your-billing.net to restore access. Within 24 hours or your account is deleted.
ham,"Following up on the previous thread. Thanks for the update on the client pitch. Looks good. Regards,"
spam,ATTENTION: You are the lucky winner of our daily giveaway! Reply to this email to find out how. Limited time only.
ham,"Hi everyone, Just checking in regarding our last conversation. Please find your receipt for your recent software purchase attached. Best,"
spam,ATTENTION: Your package could not be delivered. Shop now while stocks last! Visit http://secure-login-verify.com Limited time only.
spam,"Make $10,000/week working from home starting in 24 hours! Unsubscribe by clicking http://claim-now.net Within 24 hours or your account is deleted."
ham,"Following up on the previous thread. Are we still on for lunch at Monday morning? Sincerely,"
ham,"Hi everyone, Hope you are having a good week. Do you have a few minutes to chat at noon? Talk soon,"
ham,"Dear Team, I hope this email finds you well. Can we push the client call to Friday instead? Thanks,"
ham,"Hey! Just checking in regarding our last conversation. Could you send me the link to the Apollo migration repository? Cheers,"
spam,Clearance sale! Massive discounts on weight loss gummies. Shop now while stocks last! Visit www.free-prize.info Within 24 hours or your account is deleted.
ham,"Dear Team, I hope this email finds you well. Could you send me the link to the server upgrade repository? Thanks,"
spam,"ATTENTION: You are the lucky winner of our daily giveaway! Click here to claim your reward: www.free-prize.info Hurry, offer ends {time}!"
ham,"Hi everyone, Following up on the previous thread. Are we still on for lunch at EOD? Thanks,"
spam,"Hey friend, Clearance sale! Massive discounts on designer handbags. Download the secure attachment to view your invoice. Act now!"
ham,"Dear Team, I hope this email finds you well. Can you review the attached presentation by Monday morning? Thanks,"
spam,ATTENTION: Clearance sale! Massive discounts on software licenses. Log in at http://bit.ly/scam123 to secure your account. Limited time only.
spam,URGENT: You are the lucky winner of our daily giveaway! Verify your identity immediately at http://update-your-billing.net to restore access. Do this immediately.
spam,Congratulations! Make thousands of dollars working from home starting today! Log in at http://claim-now.net to secure your account. Do this immediately.
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into $500 a day. Click here to claim your reward: www.free-prize.info Hurry, offer ends {time}!"
ham,"Dear Team, Thanks for reaching out! Just a reminder that the coffee chat is happening at noon. Thanks,"
spam,WARNING: Your package could not be delivered. Log in at http://bit.ly/scam123 to secure your account. Do this immediately.
spam,"Dear Customer, We noticed a login attempt on your Amazon account. Download the secure attachment to view your invoice. Act now!"
spam,"Hey friend, You have been selected to receive a brand new iPhone 15. Verify your identity immediately at www.free-prize.info to restore access. Within 24 hours or your account is deleted."
spam,"Dear Customer, Your Crypto wallet has been suspended due to suspicious activity. Log in at http://update-your-billing.net to secure your account. Limited time only."
ham,"Hi everyone, Thanks for reaching out! Please find your receipt for your flight booking attached. Sincerely,"
ham,"Hi there, I hope this email finds you well. I'm reviewing the budget spreadsheet now and will send feedback soon. Talk soon,"
spam,"URGENT: Your Apple ID has been suspended due to suspicious activity. Verify your identity immediately at http://secure-login-verify.com to restore access. Hurry, offer ends {time}!"
ham,"Hey! Thanks for reaching out! I have updated the draft contract with the latest figures. Thanks,"
ham,"Hi there, Thanks for reaching out! Please find your receipt for the conference ticket attached. Best,"
ham,"Hi there, Thanks for reaching out! I'll be out of office until Friday. Regards,"
spam,"Congratulations! We noticed a login attempt on your Apple ID. Reply to this email to find out how. Hurry, offer ends {time}!"
ham,"Hey! Thanks for reaching out! I'm reviewing the invoice now and will send feedback soon. Best,"
spam,"Hey friend, Your Crypto wallet has been suspended due to suspicious activity. Shop now while stocks last! Visit www.free-prize.info Hurry, offer ends {time}!"
spam,Congratulations! Clearance sale! Massive discounts on enhancement pills. Click here to claim your reward: http://secure-login-verify.com Act now!
ham,"Dear Team, Following up on the previous thread. Could you clarify your notes on the invoice? Talk soon,"
ham,"Hi there, Following up on the previous thread. Do you have a few minutes to chat at tomorrow? Cheers,"
ham,"Hey! Just checking in regarding our last conversation. Please find your receipt for monthly subscription attached. Thanks,"
spam,"WARNING: Make $10,000/week working from home starting tonight! Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Do this immediately."
spam,Get up to 85% off on all rolex watches! Log in at www.free-prize.info to secure your account. Limited time only.
ham,"Hi there, Hope you are having a good week. Can you review the attached budget spreadsheet by Friday? Regards,"
ham,"Hope you are having a good week. Could you send me the link to the marketing campaign repository? Best,"
spam,Congratulations! You are the lucky winner of our daily giveaway! Click here to claim your reward: http://secure-login-verify.com Within 24 hours or your account is deleted.
ham,"Hello, Hope you are having a good week. Could you clarify your notes on the code review? Thanks,"
ham,"Good morning, Hope you are having a good week. The website redesign is progressing well. We hit the milestone. Cheers,"
ham,"The Q4 planning is progressing well. We hit the milestone. Talk soon,"
ham,"Good morning, Thanks for reaching out! The Apollo migration is progressing well. We hit the milestone. Best,"
spam,Congratulations! We noticed a login attempt on your Crypto wallet. Verify your identity immediately at http://bit.ly/scam123 to restore access. Limited time only.
spam,WARNING: Make $500 a day working from home starting in 24 hours! Download the secure attachment to view your invoice. Limited time only.
ham,"Let's schedule a meeting for tomorrow to discuss the client pitch. Sincerely,"
spam,We noticed a login attempt on your Netflix subscription. Unsubscribe by clicking http://bit.ly/scam123 Do this immediately.
spam,Get up to 90% off on all electronics! Reply to this email to find out how. Do this immediately.
ham,"Do you have a few minutes to chat at next week? Best,"
ham,"Hi there, The server upgrade is progressing well. We hit the milestone. Thanks,"
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Download the secure attachment to view your invoice. Within 24 hours or your account is deleted."
spam,ATTENTION: Your package could not be delivered. Verify your identity immediately at www.free-prize.info to restore access. Do this immediately.
spam,Congratulations! Get up to 90% off on all designer handbags! Reply to this email to find out how. Limited time only.
ham,"Hey! Just checking in regarding our last conversation. Can you review the attached Q3 report by Friday? Best,"
ham,"Dear Team, I hope this email finds you well. Are we still on for lunch at Friday? Sincerely,"
spam,"Hey friend, You are the lucky winner of our daily giveaway! Log in at www.free-prize.info to secure your account. Within 24 hours or your account is deleted."
ham,"Good morning, Thanks for reaching out! Let's schedule a meeting for Monday morning to discuss the client pitch. Best,"
spam,WARNING: Get up to 85% off on all software licenses! Verify your identity immediately at http://bit.ly/scam123 to restore access. Within 24 hours or your account is deleted.
spam,WARNING: You have been selected to receive a Tesla Model S. Reply to this email to find out how. Limited time only.
ham,"Hi everyone, I hope this email finds you well. I have updated the design mockup with the latest figures. Talk soon,"
